SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3.7,0.52,25.3,40,26.59,4.21,22.38,0,0,0,2.18,20.8,73.9
7.3,0.49,32.9,33,27.87,3.84,24.03,2.309,0.178,2.13,2.18,23.1,74.69
4.9,0.68,23.8,42,33.2,5.94,27.26,2.365,0.328,2.04,1.45,22.73,71.6
1.9,0.45,28.8,39,14.2,2.46,11.74,0,0,0,1,21.66,76.03
3.3,0.51,25.4,39,27.54,4.58,22.95,2.192,0.19,2,2.03,21.66,72.42
4,0.57,30.4,49,25.53,2.82,22.72,2.336,0.222,2.11,2.16,21.11,74.47
5.1,0.65,32.5,32,29.93,4.44,25.49,2.296,0.242,2.05,1.6,25.53,70.61
5.4,0.83,30.9,36,35.82,6.19,29.63,2.378,0.348,2.03,1.18,27.08,72.65
7.5,0.56,28.6,36,36.38,6.21,30.18,2.254,0.263,1.99,1.76,25.79,73.42
5.5,0.62,32.3,38,27.21,3.94,23.27,2.275,0.275,2,1.56,25.68,72.23
4.3,0.52,37.1,45,23.16,2.55,20.59,2.305,0.208,2.1,2.06,24.55,74.94
3.4,0.45,30.2,36,25.98,4.34,21.64,2.164,0.185,1.98,1.88,24.86,73.31
6.2,0.39,40.6,38,21.23,2.77,18.47,2.207,0.126,2.08,2.17,25.76,75.79
6.1,0.51,36.5,36,25.13,3.7,21.43,2.393,0.249,2.14,1.72,24.98,76.33
5.3,0.51,32.4,38,28,4.65,23.35,2.259,0.236,2.02,1.86,24.93,74.16
3.7,0.47,32,31,22.56,3.45,19.11,0,0,0,2.08,24.06,74.08
2,0.38,34.2,35,11.05,1.93,9.12,0,0,0,1.04,24.87,75.32
3.8,0.55,36.4,40,22.93,2.77,20.15,2.193,0.206,1.99,2.15,25.28,73.23
3.3,0.38,30.5,21,16.17,2.51,13.66,0,0,0,2.2,28,78.13
4.6,0.25,36.1,29,11.73,1.61,10.1,2.064,0.039,2.03,2.25,28.37,82.57
4.7,0.54,31.5,28,20.77,3.2,17.56,2.187,0.225,1.96,1.68,28.57,77.15
4.3,0.41,32.1,29,18.86,2.78,16.08,2.123,0.167,1.96,1.84,27.96,78.45
3.8,0.4,31.8,24,19.98,3.51,16.47,2.079,0.164,1.92,1.85,28.2,76.13
6.5,0.5,30.4,24,23.28,3.86,19.42,2.132,0.18,1.95,1.78,28.22,76.44
4.6,0.37,30.1,24,17.17,2.67,14.5,2.264,0.179,2.09,1.83,27.89,80.46
1.8,0.29,30.6,18,7.61,1.93,5.68,0,0,0,1.17,27.63,78.08
6.6,0.63,29.2,24,26.79,4.54,22.25,2.229,0.268,1.96,1.26,29.3,77.85
4.3,0.42,34.9,34,17.99,2.67,15.32,2.142,0.153,1.99,2.11,27.64,79.1
4.7,0.44,34.1,29,17.38,2.28,15.09,2.067,0.156,1.91,2.06,28.25,77.93
9.8,0.48,25.7,26,29.68,6.11,23.57,2.135,0.211,1.92,1.92,28.58,79.02
4,0.34,32.1,19,15.43,2.7,12.73,2.008,0.123,1.89,2.31,28.3,78.87
7.9,0.4,26.1,16,22.65,5.42,17.23,2.056,0.174,1.88,2.12,28.49,82.07
5.2,0.51,28.8,16,21.48,4.56,16.92,2.116,0.198,1.92,1.32,29.11,79.54
2.8,0.31,32.1,14,12.92,2.4,10.52,0,0,0,2.49,28.59,76.05
3.3,0.34,32.8,17,18.06,3.7,14.36,1.951,0.144,1.81,1.82,28.45,77.16
4.8,0.4,28,16,19.62,3.94,15.68,2.042,0.136,1.91,1.85,28.31,78.2
1.3,0.24,33.6,13,5.34,1.56,3.77,0,0,0,1.39,27.59,79.03
4.3,0.37,33.4,19,16.32,3.02,13.29,2.008,0.14,1.87,2.4,28.55,78.5
3,0.21,33.9,18,9.02,1.84,7.19,2.038,0.048,1.99,2.48,28.01,82.3
4.3,0.3,31.9,16,13.41,2.34,11.06,2.224,0.163,2.06,1.69,27.97,82.49
3.7,0.47,30.1,16,16.81,2.83,13.98,2.095,0.182,1.91,1.65,28.74,79.04
3.7,0.38,33,20,15.83,2.67,13.15,2.036,0.127,1.91,2.21,28.32,78.93
9.2,0.36,25.7,11,20.34,4.32,16.02,2.014,0.159,1.86,2.15,29.47,78.86
3.5,0.42,28.9,15,15.05,2.49,12.55,2.078,0.172,1.91,1.85,29.54,77.27
3.7,0.35,30.6,16,15.07,2.18,12.87,2.008,0.125,1.88,2.3,29.25,77.42
4.3,0.33,31.4,17,15.19,2.55,12.63,1.949,0.135,1.81,2.16,29.62,76.4
2.8,0.15,33.2,17,7.25,1.3,5.94,1.989,0.026,1.97,2.53,28.61,78.37
4.7,0.26,29,17,13.24,3.05,10.18,2.174,0.143,2.03,1.3,28.88,80.43
3.8,0.3,29.6,16,14.15,2.23,11.92,1.968,0.116,1.85,2,28.99,77.85
3.2,0.29,29.1,10,12.94,2.44,10.49,0,0,0,2.49,29.28,75.03
1.4,0.21,29.6,10,4.79,1.77,3.01,0,0,0,1.29,28.42,77.8
3.7,0.31,27.8,17,17.84,3.56,14.28,1.966,0.175,1.79,1.9,29.33,75.47
5.2,0.37,26.6,15,17.68,3.3,14.37,1.944,0.127,1.82,1.86,29.16,76.51
5.5,0.47,26.5,13,19.37,3.55,15.83,2.087,0.198,1.89,1.08,29.93,77.99
3.3,0.25,20.7,15,15.25,3.68,11.56,1.858,0.133,1.73,2.07,30.3,71.61
7.8,0.23,18.9,7,18.32,5.3,13.02,1.948,0.139,1.81,2.35,30.31,76.29
3.5,0.24,21.1,12,12.29,2.23,10.06,1.931,0.102,1.83,2.29,30.26,73.46
3.9,0.23,21.6,12,12.71,2.52,10.18,1.883,0.099,1.78,2.21,29.96,73.91
2.9,0.22,21.3,8,11.53,2.75,8.79,0,0,0,2.56,30.34,69.51
7.1,0.23,19.3,14,14.3,4.36,9.94,2.166,0.191,1.98,1.46,29.89,76.6
3.8,0.36,20,11,14.56,3.03,11.54,2.007,0.157,1.85,1.79,30.52,72.51
4.3,0.23,22.3,13,12.52,2.39,10.13,1.864,0.093,1.77,2.33,30.52,73.26
5.2,0.27,17.9,12,16.05,3.93,12.11,1.81,0.098,1.71,1.8,30.26,72.92
1.7,0.17,25.7,9,5.17,1.83,3.34,0,0,0,1.5,29.22,73.65
5.4,0.36,17.7,9,17.02,3.86,13.16,1.991,0.158,1.83,1.16,30.45,74.8
2.8,0.11,22.2,13,7.55,1.62,5.93,1.911,0.026,1.89,2.66,29.39,76.42
3.9,0.25,17.2,9,13.89,3.56,10.34,1.908,0.103,1.8,2.17,29.74,74.55
3.5,0.39,15.6,8,15.19,4.06,11.12,2.016,0.169,1.85,1.86,30.25,73.24
2.8,0.22,17.7,6,11.36,3.12,8.24,0,0,0,2.79,29.83,73.08
4.6,0.27,16.9,9,14.83,4.63,10.19,1.898,0.124,1.77,2.21,29.95,75.53
1.4,0.17,21.1,8,5.69,2.29,3.39,0,0,0,1.38,28.68,76
2.3,0.08,19.3,8,6.31,1.58,4.73,1.911,0.018,1.9,2.52,29.47,77.63
3.9,0.29,16.8,9,13.62,3.81,9.8,1.942,0.115,1.83,2.36,29.89,74.43
3.1,0.28,14.4,11,16.33,5.15,11.18,1.863,0.143,1.72,1.99,30.09,72.33
5.1,0.29,13.8,8,16.95,5.13,11.82,1.814,0.104,1.71,1.85,29.73,75.21
8.9,0.25,13.8,6,18,6.15,11.85,1.936,0.149,1.79,2.24,29.91,78.33
6.5,0.23,15.6,8,12.43,3.96,8.46,2.122,0.155,1.97,1.46,29.74,76.73
5.4,0.4,14,6,17.86,5.31,12.55,1.995,0.179,1.82,1.12,30.18,76.65
5.7,0.48,24.3,14,19.52,3.53,15.99,2.074,0.201,1.87,1.07,29.45,72.93
5.3,0.36,25.1,14,17.59,3.22,14.37,1.902,0.112,1.79,1.71,28.95,72
7.2,0.32,24.5,16,15.36,3.32,12.04,2.288,0.211,2.08,1.34,28.83,74.75
4.6,0.35,28.3,19,16.65,2.85,13.8,2.027,0.131,1.9,1.99,28.76,72.34
3.3,0.18,31.8,17,8.42,1.35,7.07,2.023,0.023,2,2.36,28.48,75.75
3.4,0.33,24.8,14,14.02,2.87,11.15,0,0,0,2.44,28.81,70.85
4.4,0.48,24.8,17,18.33,3.37,14.96,2.117,0.197,1.92,1.75,29.51,69.98
3.9,0.34,29.8,20,14.31,1.92,12.37,2.055,0.132,1.92,2.24,28.91,72.5
1.8,0.27,30.2,17,7,1.76,5.24,0,0,0,1.28,28.29,72.3
3.7,0.37,25.5,19,16.32,3.49,12.83,1.955,0.158,1.8,1.9,29.17,69.75
4.4,0.33,29.5,19,13.71,2.73,10.98,1.974,0.129,1.85,2.12,29.04,72.51
9.3,0.34,23.2,15,22.14,4.42,17.73,2.015,0.152,1.86,2.06,29.01,75.36
4.2,0.46,29.2,28,18.62,2.89,15.72,2.139,0.161,1.98,2.12,26.88,74
9.1,0.45,20.1,0,26.41,5.87,20.55,2.086,0.182,1.91,1.9,27.23,75.95
6.1,0.58,24.7,23,25.09,4.8,20.29,2.161,0.242,1.92,1.09,27.39,74.24
5.9,0.46,24.8,21,22.01,4.15,17.87,1.991,0.159,1.83,1.64,26.97,73.3
4,0.44,26.2,27,17.66,3.43,14.23,2.105,0.205,1.9,1.98,27.12,73.36
3.9,0.45,27.5,25,18.79,4.23,14.56,2.025,0.18,1.85,1.87,27.14,70.75
1.8,0.33,31.2,22,8.34,1.35,6.99,0,0,0,1.23,26.48,72.5
3.5,0.41,25.4,21,16.39,3.35,13.05,0,0,0,2.33,26.72,72.77
4.3,0.44,28.4,26,20.39,3.65,16.74,2.123,0.161,1.96,1.93,26.86,72.77
7.8,0.4,25,24,19.39,4.82,14.57,2.365,0.238,2.13,1.33,27.09,74.29
4.4,0.26,31.7,24,11.63,1.94,9.69,2.166,0.055,2.11,2.19,26.89,76.7
4.6,0.58,24.2,25,21.87,4.11,17.76,2.2,0.228,1.97,1.7,27.57,71.25
5.8,0.44,32.8,37,23.47,4.01,19.46,2.39,0.13,2.26,2.23,21.7,77.44
3.3,0.54,26.2,36,26.5,5.45,21.04,2.14,0.21,1.93,2,21.83,66.01
3.8,0.62,31.3,41,26.26,4.31,21.95,2.22,0.25,1.98,2.07,21.15,72.78
9.7,0.55,25.5,43,30.24,6.52,23.72,2.63,0.42,2.21,1.35,21.19,75.83
1.7,0.42,30.5,32,11.83,1.57,10.26,0,0,0,1.19,21.21,74.42
4.6,0.73,25.8,32,34.32,6.73,27.59,2.23,0.28,1.95,1.57,21.33,72.14
4,0.58,27.3,39,31.3,6.48,24.82,2.32,0.27,2.05,1.96,20.82,73.4
4.7,0.7,25.3,39,30.17,5.53,24.64,2.34,0.3,2.04,1.72,21.59,73.45
4.9,0.9,25.2,38,40.27,9.04,31.24,2.48,0.41,2.07,1.13,21.75,73.03
3.4,0.52,26,34,24.35,4.22,20.12,0,0,0,2.2,20.57,73.67
3.8,0.6,30.3,43,27.16,4.2,22.95,2.31,0.24,2.07,2.07,20.73,74.05
6.4,0.66,21.1,41,40.79,9.56,31.23,2.27,0.28,1.99,1.82,21.7,74.81
2.8,0.48,27.3,37,21.32,3.59,17.74,2.066,0.151,1.91,2.51,18.91,66.35
3.4,0.58,29.2,43,24,3.56,20.45,2.156,0.196,1.96,2.61,19,68.21
3.5,0.68,23.9,33,31.5,6.29,25.22,2.252,0.247,2.01,1.81,19.26,67.62
4,0.86,23.6,40,37.29,8.53,28.76,2.454,0.379,2.08,1.25,19.56,69.21
4.8,0.64,21.2,42,35.69,7.2,28.5,2.215,0.241,1.97,2.02,19.65,69.69
3.3,0.55,28.5,44,24.15,3.3,20.85,2.189,0.185,2,2.53,18.64,69.3
4.7,0.63,23.5,41,29.43,5.26,24.17,2.262,0.255,2.01,2.09,19.31,69.26
5.6,0.52,28.7,36,27.17,4.54,22.63,2.418,0.201,2.22,2.61,19.86,73.62
5.6,0.55,24.8,43,30.62,6.74,23.88,2.414,0.33,2.08,1.59,19.2,70.82
3.6,0.53,26.7,39,26.98,5,21.99,2.224,0.211,2.01,2.5,18.6,69.19
3.2,0.5,25.6,34,21.68,3.34,18.34,0,0,0,2.64,18.33,70.04
1.8,0.45,28.5,37,12.3,1.83,10.47,0,0,0,1.15,19.14,71.9
4.3,0.6,17.6,38,33.9,8.51,25.39,2.307,0.275,2.03,2.48,18.43,78.39
5,0.73,18.3,37,33.57,7.19,26.38,2.344,0.311,2.03,2.03,18.96,79.51
3.7,0.99,17.5,45,42.14,12.93,29.21,2.575,0.482,2.09,1.24,19.2,77.78
10.9,0.6,17.8,41,38.28,11.65,26.63,2.459,0.37,2.09,1.55,18.95,80.12
3.3,0.61,21.9,41,27.37,5.13,22.24,2.246,0.221,2.03,2.44,18.39,79.2
2.7,0.54,20.1,32,25.39,5.65,19.74,2.125,0.189,1.94,2.36,18.2,79.98
6.2,0.61,21.5,34,29.61,4.67,24.93,2.379,0.193,2.19,2.7,19.81,81.18
3.1,0.58,19.5,35,25.65,5.35,20.3,0,0,0,2.45,18.32,78.98
3.3,0.64,23.4,39,27.43,4.97,22.46,2.225,0.237,1.99,2.54,18.8,76.54
4.4,0.74,15.1,40,44.09,12.15,31.94,2.286,0.309,1.98,1.95,19.26,79.65
1.3,0.44,22,31,12.11,1.97,10.14,0,0,0,1.09,18.96,80.15
3.6,0.81,18,32,37.12,9.07,28.06,2.348,0.307,2.04,1.76,18.87,76.78
4.4,0.78,24.6,34,36.14,7.33,28.81,2.332,0.296,2.04,1.67,22.16,69.99
9.5,0.61,25,43,34.85,7.16,27.69,2.534,0.425,2.11,1.53,21.88,73.89
4,0.62,29.6,38,26.32,3.76,22.57,2.237,0.243,1.99,2.44,21.81,71.01
5.7,0.72,24.2,38,35.37,6.89,28.48,2.362,0.315,2.05,1.94,22.24,71.65
5.1,0.71,19.7,44,43.53,9.93,33.6,2.249,0.298,1.95,1.86,22.46,72.51
3.6,0.56,26.1,34,25.75,4.78,20.97,2.162,0.203,1.96,2.29,21.32,75.16
3.9,0.58,24,37,26.85,4.91,21.94,0,0,0,2.29,21.37,73.87
1.8,0.46,28.8,35,13.51,1.76,11.74,0,0,0,1.01,22.32,73.11
6.7,0.55,29.1,41,28.49,4.03,24.45,2.373,0.176,2.2,2.39,22.58,75.8
4.4,0.96,21.4,44,40.84,9.97,30.87,2.559,0.46,2.1,1.14,22.35,71.49
4,0.6,28.2,39,27.17,4.28,22.89,2.251,0.222,2.03,2.35,21.36,76.32
4.7,0.6,21.6,40,33.24,7.05,26.19,2.327,0.285,2.04,2.33,21.51,71.88
4.9,0.65,34.1,28,29.46,4.1,25.35,2.239,0.246,1.99,1.44,26.07,71.18
5,0.86,29,37,33.63,5.77,27.86,2.471,0.407,2.06,0.85,26.7,72.48
6.4,0.58,28.3,36,34.93,5.6,29.33,2.207,0.257,1.95,1.75,26.21,73.47
5.3,0.63,35.3,31,26.37,3.14,23.24,2.32,0.282,2.04,1.66,26.24,71.75
5.7,0.44,40.7,40,18.46,1.89,16.58,2.319,0.119,2.2,2.01,25.63,77.39
9.2,0.51,34.1,36,25.77,4.23,21.53,2.504,0.34,2.16,0,25.68,75.21
4.8,0.52,30.6,35,26.19,3.75,22.45,2.279,0.251,2.03,1.92,25.54,73.06
3.7,0.49,31.9,27,19.88,2.89,16.99,0,0,0,2.01,25.54,72.56
2.1,0.39,36.8,32,10.61,1.81,8.79,0,0,0,1.02,26.45,72.45
4,0.51,38.8,36,20.28,2.29,17.99,2.195,0.179,2.02,2.05,25.18,77.72
3.6,0.48,35.6,27,20.35,3,17.35,2.155,0.204,1.95,1.92,25.49,75.96
4,0.54,39.9,32,19.84,2.02,17.81,2.149,0.191,1.96,2.13,25.81,71.99
4.4,0.46,36.3,31,20.49,2.61,17.88,2.162,0.176,1.99,1.78,27.18,75.1
6.3,0.43,35.1,30,18.68,3,15.68,2.343,0.222,2.12,0,27.17,77.27
3.3,0.47,37.7,24,17.22,2.76,14.45,2.084,0.18,1.9,1.76,27.29,78.16
4.7,0.58,37.6,28,20.65,2.48,18.17,2.271,0.231,2.04,1.68,27.85,73.98
3.3,0.43,35.9,24,15.95,2.42,13.52,0,0,0,2.06,27.22,74.95
6.7,0.44,35,31,25.37,3.66,21.7,2.06,0.176,1.88,1.79,27.61,75.45
3.9,0.33,46.7,30,10.66,1.27,9.39,2.172,0.048,2.13,2.03,27.19,77.69
4,0.47,43.2,29,16,1.74,14.26,2.052,0.151,1.9,1.99,27.51,73.61
1.9,0.35,38.7,27,8.13,1.33,6.79,0,0,0,1.12,25.95,74.26
3.8,0.47,41.7,31,18.72,2.28,16.44,2.091,0.149,1.94,1.93,27.03,78.65
4.9,0.67,27,29,23.05,3.41,19.64,2.275,0.307,1.97,0.77,28.34,74.52
4.8,0.51,39.7,21,21.88,3.23,18.65,2.05,0.174,1.88,1.37,27.58,73.19
3.7,0.58,9.4,19,18.49,3.45,15.04,2.256,0.328,1.93,0.88,29.31,73.73
3.1,0.36,36.2,14,13.37,2.17,11.2,0,0,0,2.54,28.54,73.73
7.1,0.38,35.9,22,19.48,3.13,16.35,1.98,0.153,1.83,2.24,28.77,74.85
1.6,0.29,39.1,0,6.42,1.16,5.25,0,0,0,1.36,26.82,73.1
3.6,0.37,41.8,19,14.36,2.22,12.13,1.995,0.115,1.88,2.38,28.48,76.42
4.6,0.41,37.9,14,17.84,3.38,14.45,1.965,0.132,1.83,1.66,28.82,72.37
3.8,0.37,38.5,19,15.74,2.38,13.36,2.085,0.129,1.96,2.1,28.54,72.72
4,0.38,42.6,19,12.97,1.75,11.22,1.992,0.132,1.86,2.82,28.89,72.2
3.4,0.27,42.7,21,8.65,1.3,7.34,2.143,0.053,2.09,2.46,28.61,78.25
3.1,0.4,37.2,16,15,2.38,12.62,2.01,0.161,1.85,2.02,28.96,75.46
6.3,0.35,36,26,16.67,3.72,12.95,2.155,0.203,1.95,0,28.44,76.25
3.9,0.49,37.7,18,15.58,2.38,13.19,2.163,0.194,1.97,1.93,29.06,72.04
3.4,0.44,21.7,11,15.87,3.43,12.45,2.1,0.197,1.9,1.8,29.09,76.98
2.6,0.26,21.9,7,13.17,3.09,10.07,0,0,0,2.3,28.62,78.61
3.2,0.2,27.5,13,8.61,1.57,7.04,2.053,0.066,1.99,2.33,28.67,82.11
1.4,0.19,25.2,11,5.37,1.32,4.04,0,0,0,1.45,28.17,76.85
4.8,0.38,19.9,9,19.44,4.87,14.57,1.936,0.151,1.79,1.72,28.74,77.24
3.6,0.35,22.9,11,15.31,3.43,11.88,1.947,0.151,1.8,2.34,28.84,76.82
3.4,0.29,23,11,15.66,3.43,12.23,2.025,0.129,1.9,2.04,28.49,77.41
8.3,0.32,19.1,0,21.24,5.81,15.43,1.907,0.161,1.75,2.04,28.78,80.6
0,0,0,0,0,0,0,0,0,0,0,0,0
3.4,0.53,3.1,12,21.1,5.91,15.19,2.18,0.308,1.87,0.97,29.19,77.71
3.1,0.31,20.5,8,16.62,4.22,12.4,1.949,0.18,1.77,1.85,28.86,79.65
3.4,0.33,22,14,15.26,3.53,11.72,1.961,0.138,1.82,2.47,28.51,81.01
8.8,0.29,21.4,13,17.46,4.58,12.89,1.888,0.135,1.75,2.36,29.59,77.41
3.6,0.42,6.9,15,15.6,3.63,11.97,2.049,0.202,1.85,0.92,29.52,76.03
4.4,0.3,22.3,9,15.29,3.48,11.81,1.889,0.095,1.79,1.95,29.35,75.33
3.5,0.27,25.5,11,10.95,1.87,9.08,1.928,0.104,1.82,2.41,29.57,74.27
3.6,0.29,22.1,7,14.11,3.45,10.66,1.912,0.14,1.77,2.06,29.7,77.05
3.3,0.26,24.3,14,11.44,2.2,9.23,1.917,0.085,1.83,2.53,29.28,77.95
1.5,0.19,27.5,11,5.42,1.44,3.98,0,0,0,1.39,28.97,73.34
2.9,0.25,24.1,9,11.18,2.64,8.54,0,0,0,2.72,29.23,76.66
4,0.27,24.3,11,13.65,2.86,10.79,1.977,0.096,1.88,2.14,29.16,74.68
3.3,0.23,22.6,15,10.04,2.05,8,2.068,0.098,1.97,1.82,28.56,80.4
2.5,0.16,28.5,14,5.96,1.31,4.64,1.966,0.051,1.92,2.77,29.38,79.97
3.6,0.39,23.2,11,14,3.05,10.95,2.034,0.163,1.87,2.01,29.74,73.4
3.7,0.26,15.6,6,13.45,4.07,9.38,1.891,0.143,1.75,1.99,31.11,72.17
4.6,0.33,7,10,14.62,4.34,10.28,1.949,0.138,1.81,0.86,30.68,71.88
3.7,0.2,17.1,10,9.66,2.21,7.44,1.876,0.068,1.81,2.41,30.64,73.18
1.7,0.17,22.1,9,6.32,1.38,4.94,0,0,0,1.38,30.63,66.28
3.7,0.36,15.3,7,13.86,3.14,10.72,2.027,0.165,1.86,1.98,31.33,66.39
4.4,0.2,17.5,9,10.16,2.6,7.55,1.871,0.074,1.8,2.28,30.62,72.15
2.3,0.12,21.2,9,5.99,1.44,4.54,1.925,0.017,1.92,2.55,30.63,76.74
2.4,0.19,14.4,11,11.18,2.88,8.29,0,0,0,1.82,30.02,73.73
4.2,0.22,17.8,8,12.51,3.09,9.42,1.93,0.082,1.85,2.11,30.54,70.61
3.1,0.2,17.3,6,10.83,3.19,7.64,0,0,0,2.75,30.61,70.95
8.7,0.2,14.5,9,14.47,4.61,9.87,1.826,0.092,1.74,2.36,30.73,73.27
4.9,0.21,15.4,3,13.93,4.36,9.56,1.825,0.072,1.75,1.94,30.63,72.61
3,0.31,21.5,10,14.93,3.27,11.65,0,0,0,1.78,28.49,79.05
4,0.32,24.5,13,13.61,2.64,10.96,0,0,0,2.11,28.14,77.67
4.8,0.33,19.5,9,20.17,4.77,15.4,0,0,0,1.66,28.2,77.98
4.3,0.46,11,12,19.8,4.6,15.21,0,0,0,0.83,28.24,76.24
8.2,0.29,18.2,15,21.33,5.5,15.83,0,0,0,2.11,28.3,78.32
3.7,0.45,19.9,13,16.55,2.34,14.21,0,0,0,1.81,28.7,73.85
3.2,0.18,27.2,13,8.2,1.65,6.54,0,0,0,2.32,28.18,77.68
4,0.29,19.3,17,15.24,3.08,12.17,0,0,0,1.64,27.68,79.13
3.5,0.29,21.4,13,15.61,2.69,12.92,0,0,0,1.85,28.06,76.85
2.7,0.28,22.3,10,12.56,2.81,9.75,0,0,0,2.44,28.01,78.6
1.5,0.22,24.1,12,7.73,1.79,5.94,0,0,0,1.19,28.19,72.31
3.1,0.3,24.2,15,13.04,2.32,10.71,0,0,0,2.15,28.11,79.24
3.8,0.38,31.7,20,16.42,2.56,13.86,0,0,0,2.74,25.46,71.05
3.8,0.39,32.5,25,17.31,2.42,14.88,0,0,0,2.68,25.66,71.62
5.4,0.51,28.2,23,21.45,3.52,17.93,0,0,0,1.95,26.42,65.92
2.2,0.32,35,18,9.92,1.61,8.3,0,0,0,1.36,26.51,64.31
8.3,0.43,27.9,24,26.17,5.67,20.51,0,0,0,2.27,26.14,70.2
5.1,0.33,35.8,24,14.66,2.3,12.35,0,0,0,2.51,26.12,70.53
5.1,0.45,28.5,17,23.09,4.33,18.75,0,0,0,2,26.04,70.34
5.3,0.39,29.4,26,19.05,2.72,16.33,0,0,0,1.89,25.48,73.42
4.9,0.41,28,22,21.46,3.42,18.04,0,0,0,2.04,25.65,69.42
4.6,0.39,33.2,22,17.88,2.62,15.26,0,0,0,2.44,25.8,70.38
4.9,0.57,20.7,22,23.34,4.32,19.02,0,0,0,0.99,26.01,68.99
3.3,0.4,31,20,18.83,3.04,15.78,0,0,0,2.3,26.08,71.8
5,0.78,20.7,39,31.25,5.36,25.89,0,0,0,0.93,23.36,70.66
7.5,0.59,27.2,38,33.41,6.88,26.53,0,0,0,2.06,23.59,71.82
2.3,0.53,28.2,33,24.55,3.83,20.72,0,0,0,2.13,22.98,74.92
5.6,0.53,28.3,36,24.78,3.43,21.34,0,0,0,1.76,22.96,73.07
4.6,0.59,31.5,36,24.68,3.44,21.23,0,0,0,2.27,22.52,74.51
4,0.54,29,42,22.54,3.59,18.96,0,0,0,2.43,22.6,72.91
5.5,0.62,26.3,34,29.62,5.23,24.4,0,0,0,1.85,23.33,72.27
5.2,0.55,27.4,37,28.53,4.79,23.74,0,0,0,1.9,22.87,71.68
2.3,0.44,34.9,29,12.92,1.73,11.19,0,0,0,1.31,23.86,67.95
4.4,0.54,30.6,37,23.76,3.17,20.58,0,0,0,2.4,22.83,73.69
5.7,0.47,35.6,34,20.72,2.79,17.92,0,0,0,2.37,23.43,71.79
6.1,0.68,25.3,36,29.63,4.9,24.73,0,0,0,1.82,23.72,68.47
2.1,0.46,37.5,37,12.54,1.77,10.76,0,0,0,1.11,20.94,67.7
3.7,0.55,31.9,45,22.71,3.61,19.09,0,0,0,2.3,19.81,70.99
4.3,0.58,29.3,43,28.94,4.51,24.43,0,0,0,1.82,19.97,69.67
4.5,0.58,30.2,46,25.97,3.17,22.79,0,0,0,1.65,20.2,69.92
6.3,0.54,35.2,46,23.02,2.84,20.17,0,0,0,2.43,20.7,70.1
5.7,0.73,26.3,43,29.89,4.1,25.79,0,0,0,1.88,21.03,67.46
6.2,0.69,27.1,48,36.6,7.2,29.4,0,0,0,1.96,20.76,69.36
4.2,0.89,22.3,49,33.4,6.53,26.87,0,0,0,0.96,20.56,68.55
4.7,0.72,27.6,41,30.69,5.25,25.44,0,0,0,1.78,20.44,70.11
4.5,0.66,32.6,42,24.79,3.15,21.63,0,0,0,2.26,20.01,71.3
3.4,0.55,31.4,42,24.32,4.03,20.29,0,0,0,2.17,19.95,73.01
3.8,0.59,32.6,45,23.98,3.08,20.9,0,0,0,2.33,19.83,72.36
2.4,0.47,35.6,40,14.33,1.68,12.64,0,0,0,1.08,19.58,66.86
4.1,0.57,29.6,49,26.12,4.01,22.11,0,0,0,2.25,18.6,68.84
5.1,0.6,26.1,46,34.36,5.49,28.87,0,0,0,1.71,18.99,68.45
5.8,0.59,25.9,47,30.35,4.77,25.57,0,0,0,1.51,19.04,67.15
6.9,0.57,34.1,46,27.06,3.56,23.5,0,0,0,2.34,19.49,68.04
4.5,0.62,31.3,49,27.74,3.73,24.01,0,0,0,2.21,18.89,69.15
6.6,0.7,25.8,49,41.13,8.49,32.64,0,0,0,1.86,19.77,65.55
4.7,0.94,21.6,52,38.47,8.01,30.47,0,0,0,0.93,19.68,65.43
5.1,0.74,26.8,42,33.98,5.85,28.14,0,0,0,1.66,19.55,66.72
4.3,0.64,30.7,45,27.91,3.37,24.54,0,0,0,2.21,19.12,67.65
4,0.58,28.9,48,29.14,5.01,24.13,0,0,0,2.12,18.72,70.65
6.4,0.74,25.1,44,34.14,5.53,28.61,0,0,0,1.79,19.69,63.64
6.7,0.64,20.1,51,33.64,6.17,27.47,0,0,0,1.5,19.24,72.29
5,0.83,20.3,54,39.65,9.27,30.38,0,0,0,1.66,19.84,69.17
5.1,1.07,9.8,54,46.36,13.8,32.56,0,0,0,0.91,19.98,67.66
7,0.64,18.6,50,36.22,9.23,27,0,0,0,1.73,19.12,72.46
4,0.71,25,47,31.19,4.77,26.41,0,0,0,2.34,19.37,69
7,0.77,19.1,51,48.91,12.99,35.92,0,0,0,1.79,20,66.47
4,0.6,21.2,51,28.84,5.06,23.78,0,0,0,2.29,18.68,71.63
8,0.57,26.9,47,29.78,5.52,24.26,0,0,0,2.4,19.76,70.95
7.3,0.77,18,49,39.88,8.91,30.98,0,0,0,1.82,19.69,68.12
2,0.48,23.6,42,15.54,2.59,12.95,0,0,0,0.96,19.46,72.83
3.9,0.59,21.7,53,30.7,5.7,25,0,0,0,2.13,18.67,74.42
4.2,0.65,23.8,51,29.85,4.41,25.44,0,0,0,2.26,19.02,71.74
5.4,0.71,34.8,49,30.31,4.67,25.65,0,0,0,1.49,25.19,72.55
5.2,0.9,25.3,43,35.21,7.53,27.67,0,0,0,0.82,25.37,70.13
